"Town","County","AffordabilityScore","ConnectivityScore","SafetyScore","QualityScore","CompositeScore"
"MEXBOROUGH","SOUTH YORKSHIRE",10,8.67346919215254,9.77589336740754,4.75065368742715,8.64000324939745
"HECKMONDWIKE","WEST YORKSHIRE",9.73721141173315,9.1026701029599,9.7985251947537,3.57149607787544,8.38942283981107
"MIRFIELD","WEST YORKSHIRE",7.37877933040529,10,9.77884680740072,6.09142173077529,8.12556543979732
"CASTLEFORD","WEST YORKSHIRE",8.69556907119,7.56222866188537,9.67666951811291,5.39709542261286,8.00542634899823
"BINGLEY","WEST YORKSHIRE",7.12350350511688,7.67235631946473,9.7784790797434,7.14887271734451,7.76934302535728
"LIVERSEDGE","WEST YORKSHIRE",8.48644518959773,7.55011871971936,9.70985076811794,2.73950162240494,7.39447229788754
"DEWSBURY","WEST YORKSHIRE",8.76561655355841,5.88434950262452,9.51656415632784,3.86136876071665,7.35870310535717
"ROTHERHAM","SOUTH YORKSHIRE",8.84179376191704,5.65410634630876,9.42792508616613,3.25137722185316,7.20339923563243
"BATLEY","WEST YORKSHIRE",8.52018061427123,4.28072455402386,9.77636285108798,4.19698831238383,7.05888738920763
"PUDSEY","WEST YORKSHIRE",7.07645208671341,9.11268626569026,9.80594789199272,1.80575244935891,6.97545815609374
